0,0,0,0,0,0,0,0.50472,0,0,0,0.0045294
0,0,0,0,0.0045294,0,0,0.47277,0.50472,0,0,0.0038235
0,0,0,0,0.0038235,0.0045294,0,0.4749,0.47277,0.50472,0,0.0033333
0,0,0,0,0.0033333,0.0038235,0.0045294,0.52417,0.4749,0.47277,0.50472,0.0030196
0,0,0,0,0.0030196,0.0033333,0.0038235,0.31937,0.52417,0.4749,0.47277,0.0028627
0,0,0,0,0.0028627,0.0030196,0.0033333,0.39182,0.31937,0.52417,0.4749,0.0027255
0.0061024,0,0,0,0.0027255,0.0028627,0.0030196,0.15907,0.39182,0.31937,0.52417,0.0026862
0,0.0061024,0,0,0.0026862,0.0027255,0.0028627,0.51549,0.15907,0.39182,0.31937,0.0026079
0,0,0.0061024,0,0.0026079,0.0026862,0.0027255,0.46924,0.51549,0.15907,0.39182,0.0025686
0.05672,0,0,0.0061024,0.0025686,0.0026079,0.0026862,0.2448,0.46924,0.51549,0.15907,0.0025294
0.10675,0.05672,0,0,0.0025294,0.0025686,0.0026079,0.075679,0.2448,0.46924,0.51549,0.019804
0,0.10675,0.05672,0,0.019804,0.0025294,0.0025686,0.47706,0.075679,0.2448,0.46924,0.037255
0,0,0.10675,0.05672,0.037255,0.019804,0.0025294,0.47142,0.47706,0.075679,0.2448,0.022353
0,0,0,0.10675,0.022353,0.037255,0.019804,0.3074,0.47142,0.47706,0.075679,0.013647
0,0,0,0,0.013647,0.022353,0.037255,0.37469,0.3074,0.47142,0.47706,0.008902
0,0,0,0,0.008902,0.013647,0.022353,0.38278,0.37469,0.3074,0.47142,0.0061373
0.021435,0,0,0,0.0061373,0.008902,0.013647,0.14927,0.38278,0.37469,0.3074,0.004902
0,0.021435,0,0,0.004902,0.0061373,0.008902,0.40593,0.14927,0.38278,0.37469,0.0042157
0,0,0.021435,0,0.0042157,0.004902,0.0061373,0.38213,0.40593,0.14927,0.38278,0.0039216
0,0,0,0.021435,0.0039216,0.0042157,0.004902,0.2892,0.38213,0.40593,0.14927,0.0036667
0,0,0,0,0.0036667,0.0039216,0.0042157,0.35522,0.2892,0.38213,0.40593,0.0034902
0,0,0,0,0.0034902,0.0036667,0.0039216,0.28318,0.35522,0.2892,0.38213,0.0033333
0,0,0,0,0.0033333,0.0034902,0.0036667,0.34607,0.28318,0.35522,0.2892,0.0032549
0.002426,0,0,0,0.0032549,0.0033333,0.0034902,0.17044,0.34607,0.28318,0.35522,0.0031372
0,0.002426,0,0,0.0031372,0.0032549,0.0033333,0.19621,0.17044,0.34607,0.28318,0.003098
0,0,0.002426,0,0.003098,0.0031372,0.0032549,0.19731,0.19621,0.17044,0.34607,0.0030196
0,0,0,0.002426,0.0030196,0.003098,0.0031372,0.30096,0.19731,0.19621,0.17044,0.0029804
0,0,0,0,0.0029804,0.0030196,0.003098,0.37436,0.30096,0.19731,0.19621,0.0029804
0,0,0,0,0.0029804,0.0029804,0.0030196,0.37943,0.37436,0.30096,0.19731,0.0029019
0,0,0,0,0.0029019,0.0029804,0.0029804,0.24053,0.37943,0.37436,0.30096,0.0029019
0.0075429,0,0,0,0.0029019,0.0029019,0.0029804,0.14412,0.24053,0.37943,0.37436,0.0028236
